trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
NewTrainer,2022-01-16 11:46:17.128673,99,1000,2,0.3168,0.2175,0.3327,0.1662,0.3345,0.1346,0.3331,0.141,0.4144,0.1514,129.4375,0.6834,0.0887,1,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
BaseTrainer,2022-01-16 11:57:27.789748,99,1000,2,0.3755,0.2444,0.37799999999999995,0.1674,0.3748,0.134,0.3597,0.1393,0.4086,0.1432,129.4375,0.6146,0.0713,0,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 11:57:33.797050,99,1000,4,0.2704,0.191,0.3052,0.1465,0.3064,0.1137,0.2997,0.1163,0.3743,0.114,129.4375,0.7017,0.0928,0,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 11:57:39.857222,99,1000,8,0.1465,0.0647,0.1934,0.1249,0.1928,0.0852,0.1868,0.0866,0.2349,0.0825,129.4375,0.6844,0.0857,0,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-16 11:57:48.296093,99,1000,2,0.3654,0.1996,0.3156,0.1524,0.3146,0.1193,0.3123,0.1205,0.3874,0.1191,129.4375,0.7026,0.0935,1,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:57:54.861718,99,1000,2,0.3506,0.2264,0.3573,0.1583,0.3554,0.1239,0.3425,0.1297,0.3978,0.1354,129.4375,0.6367,0.0778,4,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:00.991581,99,1000,2,0.3446,0.2212,0.3508,0.1596,0.3472,0.1232,0.3335,0.1274,0.385,0.1199,129.4375,0.6441,0.0728,16,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:09.451403,99,1000,4,0.3089,0.1951,0.3197,0.1365,0.3183,0.1038,0.3079,0.1063,0.3666,0.1138,129.4375,0.6741,0.08900000000000001,1,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:16.073045,99,1000,4,0.2609,0.1772,0.2833,0.1476,0.2848,0.1138,0.2837,0.1125,0.3639,0.1039,129.4375,0.7311,0.1,4,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:22.230088,99,1000,4,0.2688,0.2071,0.337,0.152,0.3342,0.1126,0.3154,0.114,0.3517,0.1011,129.4375,0.615,0.0651,16,"Namespace(batch_size=256, data='tabular', data_name='abalone19', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
