trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 11:58:44.603306,99,1000,2,0.6,0.5095,0.5488,0.3086,0.5615,0.3055,0.5384,0.244,0.6101,0.1903,16.4048,0.6932,0.3991,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 11:58:45.735186,99,1000,4,0.3856,0.2409,0.371,0.1439,0.368,0.128,0.4044,0.1636,0.5087,0.2053,16.4048,0.7777,0.5770000000000001,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 11:58:46.856080,99,1000,8,0.2825,0.1927,0.3052,0.1127,0.2994,0.1126,0.3735,0.1702,0.5028,0.2096,16.4048,0.8084,0.6492,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:48.403203,99,1000,2,0.6567,0.489,0.5642,0.3432,0.5721,0.2809,0.6913,0.4464,0.9385,0.55,16.4048,0.7189,0.5181,1,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:49.667232,99,1000,2,0.541,0.3369,0.4522,0.209,0.4479,0.1963,0.4721,0.1979,0.5697,0.2037,16.4048,0.7319,0.4861,4,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:50.827668,99,1000,2,0.6446,0.5359,0.5864,0.3606,0.5999,0.2985,0.7151,0.4608,0.9583,0.5647,16.4048,0.7054,0.5102,16,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:52.357223,99,1000,4,0.4045,0.2398,0.3674,0.1308,0.3643,0.1163,0.4109,0.1639,0.5201,0.2062,16.4048,0.7624,0.5885,1,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:53.601367,99,1000,4,0.3837,0.2365,0.3581,0.132,0.3562,0.1199,0.4045,0.1622,0.5166,0.1974,16.4048,0.7937,0.5994,4,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:54.742576,99,1000,4,0.349,0.24,0.3595,0.1342,0.3613,0.1231,0.4071,0.1763,0.5254,0.2277,16.4048,0.7855,0.5963,16,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:56.269038,99,1000,8,0.27,0.1984,0.316,0.1103,0.3129,0.1056,0.3694,0.1585,0.4956,0.1994,16.4048,0.831,0.6742,1,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:57.487469,99,1000,8,0.2565,0.1948,0.3033,0.1151,0.2991,0.1187,0.3720000000000001,0.1723,0.509,0.2118,16.4048,0.8207,0.6746,4,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 11:58:58.663795,99,1000,8,0.2894,0.1991,0.3162,0.1118,0.3091,0.1063,0.3737,0.1574,0.4966,0.1938,16.4048,0.8269,0.6695,16,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
BaseTrainer,2022-01-16 12:03:16.865944,199,1000,2,0.4183,0.2456,0.3746,0.1554,0.3687,0.1286,0.4344,0.1991,0.5735,0.2494,16.4048,0.7827,0.6052,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 12:03:18.999800,199,1000,4,0.3296,0.2031,0.318,0.1122,0.3161,0.1056,0.3761,0.1605,0.5006,0.1979,16.4048,0.8109,0.6595,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-16 12:03:21.156989,199,1000,8,0.2448,0.1937,0.3054,0.1137,0.304,0.1099,0.3670000000000001,0.1635,0.4955,0.1979,16.4048,0.8139,0.6639,0,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-16 12:03:24.182243,199,1000,2,0.4384,0.2612,0.3873,0.1639,0.3822,0.1456,0.4335,0.1952,0.5621,0.2379,16.4048,0.7738,0.5723,1,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 12:03:26.558139,199,1000,2,0.4912,0.2651,0.401,0.1632,0.3945,0.1354,0.4521,0.2036,0.5857,0.2564,16.4048,0.7609999999999999,0.5736,4,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 12:03:28.766837,199,1000,2,0.3974,0.2627,0.3842,0.1652,0.3823,0.1456,0.4301,0.1881,0.5528,0.2195,16.4048,0.7711,0.5667,16,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-16 12:03:31.811675,199,1000,4,0.3119,0.20600000000000002,0.3254,0.1144,0.3235,0.1041,0.3811,0.1601,0.5008,0.2019,16.4048,0.7965,0.6428,1,"Namespace(batch_size=256, data='tabular', data_name='abalone9-18', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
