trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 11:58:59.229826,99,1000,2,0.6774,2.2382,0.5516,0.2725,0.8586,0.5770000000000001,0.7758,0.3032,1.2819,0.3643,39.1429,0.8776,0.7913,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
BaseTrainer,2022-01-16 11:58:59.798474,99,1000,4,0.6967,2.1948,0.5948,0.2378,0.8617,0.5684,0.8018,0.2951,1.2339,0.3847,39.1429,0.8299,0.7726,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
BaseTrainer,2022-01-16 11:59:00.382545,99,1000,8,0.4201,1.9028,0.3716,0.2168,0.6629,0.6552,0.7511,0.3166,1.1903,0.4876,39.1429,0.7619,0.7566,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:01.119575,99,1000,2,0.5084,2.1603,0.4931,0.2504,0.8134,0.5912,0.7869,0.3173,1.2705,0.4102,39.1429,0.8333,0.7704,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:01.744936,99,1000,2,0.631,2.2242,0.5349,0.2614,0.8679,0.5768,0.7756,0.3047,1.2495,0.3658,39.1429,0.8639,0.7812,4,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:02.301981,99,1000,2,0.7572,2.1199,0.6361,0.2316,0.8367,0.5715,0.7859,0.2784,1.2022,0.3735,39.1429,0.8231,0.7698,16,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:03.029013,99,1000,4,0.6766,2.1476,0.5508,0.2478,0.7951,0.5853,0.7386,0.3067,1.2202,0.3983,39.1429,0.8367,0.7719,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:03.644051,99,1000,4,0.5582,2.1561,0.4875,0.2512,0.8146,0.5886,0.7702,0.3125,1.2666,0.3808,39.1429,0.8605,0.7802,4,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:04.260081,99,1000,4,0.4746,2.0618,0.4495,0.2451,0.7629,0.5828,0.7375,0.3078,1.2509,0.4078,39.1429,0.8469,0.7754,16,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:05.048107,99,1000,8,0.3307,1.8232,0.355,0.1958,0.6227,0.6378,0.7206,0.333,1.2095,0.5385,39.1429,0.7619,0.7566,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli-0-1-3-7_vs_2-6', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
