trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 11:59:06.890742,99,1000,2,0.7124,2.7316,0.614,0.1783,0.9053,0.5569,0.8062,0.2361,1.0352,0.2008,15.8,0.9021,0.7963,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
BaseTrainer,2022-01-16 11:59:07.480507,99,1000,4,0.4786,2.5707,0.4524,0.1826,0.794,0.565,0.7116,0.2512,0.9225,0.2443,15.8,0.8323,0.6871,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
BaseTrainer,2022-01-16 11:59:08.077506,99,1000,8,0.3179,2.286,0.3189,0.1635,0.6261,0.6437,0.8262,0.2685,1.0332,0.2266,15.8,0.8125,0.6385,0,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:08.861109,99,1000,2,0.6305,2.8064,0.5654,0.1898,0.9082,0.5603,0.7536,0.2346,0.9211,0.2322,15.8,0.7865,0.6007,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:09.489042,99,1000,2,0.6419,2.6618,0.6018,0.1855,0.9114,0.5332,0.7834,0.2285,0.9484,0.2142,15.8,0.7938,0.613,4,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:10.067918,99,1000,2,0.64,2.7213,0.5881,0.202,0.9296,0.5357,0.7638,0.2499,0.9867,0.2359,15.8,0.8573,0.7179,16,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:10.839926,99,1000,4,0.5576,2.7735,0.4738,0.2247,0.9125,0.5477,0.7224,0.2469,0.9037,0.2376,15.8,0.8009999999999999,0.6337,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:11.453879,99,1000,4,0.7256,2.5629,0.6602,0.1892,0.8847,0.5332,0.7222,0.2292,0.9301,0.2123,15.8,0.8802,0.7440000000000001,4,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:12.029878,99,1000,4,0.4627,2.4444,0.4736,0.1741,0.7635,0.603,0.7657,0.2374,0.9468,0.21899999999999997,15.8,0.8167,0.6292,16,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
NewTrainer,2022-01-16 11:59:12.822048,99,1000,8,0.2813,2.2891,0.3222,0.1616,0.6149,0.6301,0.7239,0.2559,0.9553,0.2301,15.8,0.8719,0.7249,1,"Namespace(batch_size=256, data='tabular', data_name='ecoli4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=7)"
