trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 12:30:55.686604,99,1000,2,0.5802,1.5048,0.5349,0.3207,0.7833,0.5870000000000001,1.1876,0.3388,0.977,0.4665,19.4444,0.1893,0.254,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:30:56.213156,99,1000,4,0.499,1.406,0.4776,0.2903,0.7337,0.5743,1.1511,0.3885,0.8236,0.5132,19.4444,0.1564,0.2507,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:30:56.736127,99,1000,8,0.3516,1.1691,0.3846,0.1679,0.6492,0.4747,1.1491,0.3695,0.8473,0.4853,19.4444,0.1564,0.2507,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
NewTrainer,2022-01-16 12:30:57.419430,99,1000,2,0.4777,1.5209,0.514,0.307,0.7753,0.5819,1.1345,0.3512,0.8781,0.4599,19.4444,0.1687,0.2523,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:30:57.955429,99,1000,2,0.7444,1.4395,0.573,0.3013,0.774,0.5605,1.1466,0.3553,0.9073,0.5072,19.4444,0.2058,0.2551,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:30:58.415485,99,1000,2,0.6094,1.4753,0.5298,0.3474,0.7363,0.6005,1.1251,0.3315,0.9385,0.4581,19.4444,0.2263,0.2612,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:30:59.073486,99,1000,4,0.3348,1.3217,0.406,0.2365,0.6936,0.5637,1.1946,0.3947,0.8765,0.5111,19.4444,0.1646,0.2518,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:30:59.623486,99,1000,4,0.4948,1.3437,0.4538,0.2259,0.7240000000000001,0.5514,1.2234,0.3778,0.8911,0.4895,19.4444,0.1605,0.2515,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:00.145911,99,1000,4,0.3601,1.2892,0.3701,0.2173,0.6659999999999999,0.5527,1.1569,0.3815,0.8638,0.5107,19.4444,0.1646,0.2518,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:00.814911,99,1000,8,0.3481,1.164,0.3243,0.1924,0.5957,0.5332,1.1417,0.3672,0.8489,0.4765,19.4444,0.1605,0.2515,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:01.353964,99,1000,8,0.3183,1.1388,0.3404,0.1967,0.6124,0.4807,1.1683,0.3768,0.8540000000000001,0.4768,19.4444,0.1646,0.2518,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:01.859026,99,1000,8,0.2484,1.1051,0.3356,0.1866,0.589,0.4836,1.1873,0.3703,0.8775,0.4769,19.4444,0.1605,0.2515,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:34:30.008037,199,1000,2,0.5357,1.4944,0.4846,0.3133,0.7563,0.5941,1.2242,0.3666,0.9525,0.4794,19.4444,0.1605,0.2518,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:34:31.009107,199,1000,4,0.3128,1.1541,0.3439,0.2041,0.6097,0.5171,1.1909,0.3722,0.8774,0.4656,19.4444,0.1646,0.2518,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:34:32.033244,199,1000,8,0.2133,0.8551,0.2525,0.1386,0.5167,0.4718,1.1844,0.37,0.857,0.4721,19.4444,0.1646,0.2518,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
NewTrainer,2022-01-16 12:34:33.343378,199,1000,2,0.5174,1.3769,0.4159,0.2799,0.7017,0.5802,1.1873,0.385,0.8805,0.5139,19.4444,0.1605,0.2515,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:34:34.322444,199,1000,2,0.6291,1.455,0.588,0.3048,0.7912,0.5615,1.1731,0.34600000000000003,0.9804,0.5125,19.4444,0.2387,0.2609,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:34:35.297658,199,1000,2,0.3366,1.3330000000000002,0.4109,0.2198,0.7047,0.5519,1.1945,0.3728,0.8867,0.482,19.4444,0.1564,0.2512,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
