trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 12:31:09.398725,99,1000,2,0.5709,1.0151,0.4927,0.3119,0.6108,0.5419,1.1472,0.4008,1.1719,0.6132,15.4615,0.3176,0.3996,0,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:31:09.939724,99,1000,4,0.424,0.9136,0.3933,0.2361,0.5741,0.5264,1.1355,0.3996,1.1177,0.6178,15.4615,0.3077,0.3975,0,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 12:31:10.473723,99,1000,8,0.3237,0.823,0.3369,0.1927,0.5277,0.4602,1.1888,0.4548,1.042,0.6687,15.4615,0.2903,0.3945,0,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:11.178776,99,1000,2,0.6028,0.9846,0.4573,0.3178,0.6069,0.5452,1.1656,0.3952,1.1837,0.6068,15.4615,0.3151,0.399,1,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:11.746777,99,1000,2,0.6112,1.0271,0.4893,0.3152,0.6194,0.5386,1.1281,0.3868,1.1195,0.5931,15.4615,0.3127,0.3985,4,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:12.281829,99,1000,2,0.6511,1.0348,0.4893,0.3161,0.6146,0.5447,1.1559,0.4089,1.1683,0.6303,15.4615,0.3151,0.399,16,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:12.969830,99,1000,4,0.4713,0.9397,0.3933,0.2335,0.5689,0.5202,1.1447,0.4296,1.0895,0.6663,15.4615,0.2953,0.3953,1,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:13.536882,99,1000,4,0.3014,0.9231,0.4197,0.2241,0.5821,0.505,1.1446,0.4173,1.1131,0.6429,15.4615,0.3027,0.3966,4,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:14.079070,99,1000,4,0.4441,0.9394,0.4023,0.2431,0.5769,0.5086,1.1894,0.4283,1.0971,0.6426,15.4615,0.2953,0.3953,16,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:14.754070,99,1000,8,0.2976,0.7976,0.3602,0.1568,0.5281,0.4506,1.0877,0.4304,1.008,0.6635,15.4615,0.2903,0.3945,1,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:15.325069,99,1000,8,0.3324,0.826,0.3464,0.1923,0.5381,0.4685,1.089,0.4224,1.0270000000000001,0.657,15.4615,0.2928,0.3949,4,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 12:31:15.850071,99,1000,8,0.4134,0.9308,0.402,0.3004,0.5724,0.5594,1.1329,0.4115,1.142,0.6442,15.4615,0.3077,0.3975,16,"Namespace(batch_size=256, data='tabular', data_name='glass4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
