trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 12:31:23.745575,99,1000,2,0.6255,1.2985,0.5803,0.1745,0.7427,0.5256,0.9378,0.7384,1.3191,1.0141,15.8571,0.5368,0.4864,0,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=10)"
BaseTrainer,2022-01-16 12:31:24.647577,99,1000,4,0.5795,1.2315,0.5172,0.2111,0.6411,0.5332,0.8115,0.7471,1.1699,1.0374,15.8571,0.5357,0.4726,0,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=10)"
BaseTrainer,2022-01-16 12:31:25.585575,99,1000,8,0.2002,0.8966,0.1649,0.1831,0.3793,0.6036,0.7376,0.8515,1.2576,1.0979999999999999,15.8571,0.6604,0.5473,0,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:26.833576,99,1000,2,0.3534,1.2329,0.3654,0.16899999999999998,0.6129,0.5761,0.8939,0.8029999999999999,1.3385,1.0828,15.8571,0.6194,0.5247,1,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:27.814577,99,1000,2,0.593,1.2799,0.5226,0.195,0.684,0.5495,0.8951,0.7603,1.2930000000000001,1.0288,15.8571,0.58,0.4965,4,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:28.728576,99,1000,2,0.5616,1.2821,0.5135,0.1977,0.6839,0.5497,0.8876,0.767,1.2738,1.0433,15.8571,0.5741,0.486,16,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:29.964577,99,1000,4,0.3131,1.2448,0.2492,0.2092,0.5819,0.6158,0.9086,0.805,1.3283,1.0693,15.8571,0.6221,0.5058,1,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:30.927576,99,1000,4,0.5545,1.1983,0.4789,0.1938,0.6306,0.5379999999999999,0.8292,0.7516,1.2181,1.0257,15.8571,0.5832,0.5016,4,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:31.848577,99,1000,4,0.1873,1.2236,0.2474,0.198,0.5559,0.6314,0.8847,0.8356,1.3316,1.0958,15.8571,0.6365,0.5094,16,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:33.129576,99,1000,8,0.1656,1.0663,0.1903,0.1782,0.4813,0.5986,0.8125,0.8307,1.2738,1.1089,15.8571,0.6327,0.5274,1,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:34.123576,99,1000,8,0.1182,0.9751,0.1674,0.1858,0.4233,0.6321,0.7741,0.8637,1.262,1.1222,15.8571,0.6439,0.5253,4,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
NewTrainer,2022-01-16 12:31:35.069576,99,1000,8,0.1445,0.9566,0.1613,0.181,0.4096,0.6244,0.7582,0.8592,1.2662,1.1103,15.8571,0.6631,0.5398,16,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=10)"
BaseTrainer,2022-01-16 12:35:25.152095,199,1000,2,0.38,1.2872,0.3111,0.2172,0.5956,0.6098,0.9085,0.8138,1.3371,1.0704,15.8571,0.6295,0.5072,0,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=10)"
BaseTrainer,2022-01-16 12:35:26.951236,199,1000,4,0.2691,1.2121,0.2217,0.2006,0.5595,0.6161,0.8767,0.799,1.3118,1.0682,15.8571,0.6183,0.5195,0,"Namespace(batch_size=256, data='tabular', data_name='page-blocks-1-3_vs_4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=10)"
