trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 20:55:22.508158,99,1000,2,1.1156,0.4839,0.5422,0.4695,0.4974,0.2407,0.6591,0.3024,1.1004,0.2174,20.5,1.0,1.0,0,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-17 20:55:23.009155,99,1000,4,0.8975,0.2345,0.3118,0.4656,0.2744,0.2591,0.4629,0.4175,1.1302,0.2693,20.5,1.0,1.0,0,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-17 20:55:23.511155,99,1000,8,0.5316,0.1831,0.2567,0.3198,0.2372,0.226,0.4217,0.40399999999999997,1.0859999999999999,0.2524,20.5,1.0,1.0,0,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:24.129155,99,1000,2,1.5363,0.4361,0.4981,0.4729,0.4567,0.2138,0.6269,0.3154,1.0994,0.2192,20.5,1.0,1.0,1,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:24.649157,99,1000,2,0.3385,0.4135,0.4993,0.4747,0.4586,0.20600000000000002,0.6287,0.3312,1.1335,0.2421,20.5,1.0,1.0,4,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:25.150155,99,1000,2,1.3454,0.4885,0.5132,0.5046,0.4724,0.2777,0.6451,0.3519,1.1549,0.209,20.5,1.0,1.0,16,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:25.764155,99,1000,4,0.8199,0.3324,0.4022,0.4938,0.3648,0.252,0.5428,0.3798,1.1285,0.2597,20.5,1.0,1.0,1,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:26.278155,99,1000,4,0.8774,0.4532,0.5282,0.4704,0.4844,0.2207,0.6609999999999999,0.3219,1.1432,0.2265,20.5,1.0,1.0,4,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:26.767155,99,1000,4,0.8114,0.4483,0.509,0.4385,0.4694,0.2386,0.6514,0.3335,1.1541,0.2123,20.5,1.0,1.0,16,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-17 20:55:27.380156,99,1000,8,0.6748,0.1737,0.2879,0.4441,0.2473,0.2219,0.43,0.3898,1.0714,0.2679,20.5,1.0,1.0,1,"Namespace(batch_size=256, data='tabular', data_name='shuttle-c2-vs-c4', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
