trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 20:55:29.883155,99,1000,2,0.9313,0.7475,0.8285,0.1714,0.7316,0.1371,0.9798,0.1838,1.1304,0.1409,9.9778,0.8999,0.878,0,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=13)"
BaseTrainer,2022-01-17 20:55:31.364154,99,1000,4,0.9448,0.7522,0.8314,0.1605,0.7386,0.13699999999999998,0.9766,0.191,1.1473,0.1271,9.9778,0.9478,0.9335,0,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=13)"
BaseTrainer,2022-01-17 20:55:32.878156,99,1000,8,0.5493,0.6114,0.5393,0.1188,0.6459,0.0983,0.7778,0.1345,0.772,0.1566,9.9778,0.4721,0.4609,0,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:34.977155,99,1000,2,0.8522,0.7522,0.7631,0.1606,0.742,0.1239,0.9769,0.17800000000000002,1.12,0.1384,9.9778,0.8927,0.8524,1,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:36.639185,99,1000,2,0.853,0.7729,0.7612,0.1585,0.7471,0.1265,1.006,0.1736,1.1337,0.1425,9.9778,0.8533,0.8141,4,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:38.164155,99,1000,2,0.8581,0.8126,0.7671,0.1485,0.7689,0.1238,1.002,0.1615,1.1229,0.1196,9.9778,0.8656,0.8204,16,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:40.275466,99,1000,4,0.6831,0.7043,0.6326,0.1311,0.7046,0.1169,0.8364,0.1283,0.8895,0.1261,9.9778,0.6866,0.6495,1,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:41.912464,99,1000,4,0.7029,0.7128,0.6704,0.1218,0.7141,0.1128,0.9172,0.145,0.9778,0.1453,9.9778,0.6959,0.6361,4,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:43.476467,99,1000,4,0.7038,0.6713,0.6548,0.11699999999999999,0.6913,0.0937,0.8762,0.1481,0.9808,0.1299,9.9778,0.852,0.7761,16,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
NewTrainer,2022-01-17 20:55:45.563467,99,1000,8,0.5739,0.6305,0.5676,0.1393,0.6704,0.1081,0.8503,0.1796,0.9006,0.2162,9.9778,0.6345,0.6228,1,"Namespace(batch_size=256, data='tabular', data_name='vowel0', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=13)"
