trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 20:55:55.568300,99,1000,2,0.7347,0.6473,0.6034,0.1928,0.6109,0.1832,0.6438,0.2335,0.8092,0.3098,25.765,0.7307,0.4578,0,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=11)"
BaseTrainer,2022-01-17 20:56:02.347431,99,1000,4,0.6218,0.5436,0.5387,0.17600000000000002,0.5595,0.1761,0.58,0.2196,0.7303,0.2963,25.765,0.7193,0.4464,0,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=11)"
BaseTrainer,2022-01-17 20:56:09.123610,99,1000,8,0.4954,0.4112,0.4698,0.1682,0.4861,0.1602,0.5049,0.1992,0.6163,0.2756,25.765,0.6817,0.3838,0,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:18.624366,99,1000,2,0.7339,0.6759999999999999,0.6128,0.2069,0.6219,0.1911,0.6525,0.2477,0.8295,0.3262,25.765,0.7341,0.4559,1,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:25.982275,99,1000,2,0.7251,0.6602,0.6063,0.2086,0.609,0.1867,0.6387,0.2486,0.8175,0.3235,25.765,0.7397,0.4524,4,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:32.801172,99,1000,2,0.769,0.6619,0.6048,0.2102,0.6077,0.1923,0.6419,0.2521,0.8093,0.3282,25.765,0.7190000000000001,0.4257,16,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:42.307056,99,1000,4,0.6225,0.5143,0.5269,0.1747,0.5458,0.1659,0.5674,0.2111,0.7093,0.2826,25.765,0.7143,0.4417,1,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:49.664710,99,1000,4,0.6342,0.5422,0.5392,0.179,0.5614,0.1792,0.5820000000000001,0.2224,0.7281,0.3017,25.765,0.7113,0.4345,4,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:56:56.544657,99,1000,4,0.6226,0.5178,0.5433,0.183,0.5515,0.1621,0.5835,0.2194,0.7416,0.2906,25.765,0.7289,0.4634,16,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
NewTrainer,2022-01-17 20:57:06.101355,99,1000,8,0.4726,0.3583,0.4454,0.1508,0.4623,0.1439,0.4812,0.1902,0.5847,0.2798,25.765,0.6707,0.3802,1,"Namespace(batch_size=256, data='tabular', data_name='wine', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=11)"
