trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 22:25:48.148799,99,1000,2,0.6882,0.9359,0.5102,0.2384,0.5961,0.4136,0.6808,0.4299,0.6507,0.2745,30.5667,0.5413,0.1897,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:25:49.758877,99,1000,4,0.5773,0.8154,0.4625,0.2145,0.5429999999999999,0.4124,0.6164,0.4173,0.5576,0.2325,30.5667,0.5089,0.1737,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:25:51.325389,99,1000,8,0.4408,0.4872,0.3682,0.1754,0.4106,0.2831,0.5303,0.4177,0.4829,0.2535,30.5667,0.5237,0.1805,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-17 22:25:53.528389,99,1000,2,0.5934,0.8752,0.5066,0.2289,0.5753,0.4002,0.6522,0.4293,0.5819,0.1993,30.5667,0.535,0.1763,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:25:55.216390,99,1000,2,0.7272,0.8257,0.5137,0.2325,0.5667,0.3515,0.6813,0.4284,0.6551,0.2543,30.5667,0.5536,0.1969,4,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:25:56.846389,99,1000,2,0.623,0.8918,0.5226,0.2333,0.5941,0.4117,0.6937,0.4511,0.6815,0.2537,30.5667,0.5821,0.2009,16,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:25:59.003901,99,1000,4,0.7071,0.5669,0.4682,0.22699999999999998,0.4949,0.2643,0.6272,0.4468,0.6001,0.2421,30.5667,0.5638,0.19899999999999998,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:00.710902,99,1000,4,0.5501,0.8002,0.4588,0.2281,0.5259,0.4051,0.6099,0.4749,0.5283,0.214,30.5667,0.5215,0.1733,4,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:02.308901,99,1000,4,0.5187,0.7964,0.4464,0.2097,0.5243,0.3788,0.5966,0.3819,0.5782,0.2369,30.5667,0.5543,0.1894,16,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:04.492900,99,1000,8,0.4467,0.4042,0.3741,0.1882,0.396,0.2404,0.5046,0.3983,0.4394,0.2026,30.5667,0.5263,0.1772,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-1-2-8-9_vs_7', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
