trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 22:26:23.858203,99,1000,2,1.0671,0.7601,0.584,0.3181,0.5693,0.2287,0.6733,0.341,1.0025,0.4764,23.1,0.7421,0.7228,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:26:24.852203,99,1000,4,0.7301,0.5957,0.4887,0.2353,0.4799,0.2347,0.5955,0.3256,0.9421,0.44,23.1,0.7621,0.7333,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:26:25.845203,99,1000,8,0.5848,0.4276,0.4216,0.2312,0.4152,0.2175,0.5401,0.3378,0.9037,0.4568,23.1,0.7621,0.7219,0,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:27.198204,99,1000,2,1.3002,0.7455,0.5659,0.3364,0.5311,0.2591,0.6537,0.3412,0.9834,0.4499,23.1,0.7557,0.74,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:28.249202,99,1000,2,1.2678,0.7544,0.573,0.3419,0.5389,0.2538,0.6592,0.3407,0.9813,0.4554,23.1,0.7521,0.7305,4,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:29.261205,99,1000,2,1.0454,0.6875,0.57,0.3077,0.5489999999999999,0.232,0.6676,0.3438,1.0231,0.485,23.1,0.7443,0.743,16,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:30.571203,99,1000,4,0.7663,0.6108,0.5119,0.2401,0.4954,0.2315,0.6192,0.3307,0.9575,0.4571,23.1,0.7471,0.7484,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:31.660847,99,1000,4,0.8544,0.6122,0.4888,0.2488,0.476,0.2387,0.5822,0.3305,0.9081,0.4624,23.1,0.7293,0.6993,4,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:32.626682,99,1000,4,0.8072,0.6435,0.501,0.2438,0.4864,0.2392,0.6098,0.3417,0.9684,0.4673,23.1,0.7564,0.7498,16,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:26:33.927732,99,1000,8,0.6697,0.5813,0.4568,0.1995,0.4578,0.2424,0.568,0.3141,0.87,0.4347,23.1,0.7264,0.7131,1,"Namespace(batch_size=256, data='tabular', data_name='yeast-2_vs_8', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
