trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 22:27:08.431059,99,1000,2,0.9035,0.8144,0.5474,0.2978,0.5437,0.2674,0.6066,0.2522,0.8638,0.2183,32.7273,0.8769,0.4865,0,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:27:10.661060,99,1000,4,0.7446,0.6869,0.5034,0.2821,0.5045,0.2774,0.5303,0.2343,0.6055,0.1894,32.7273,0.6765,0.2437,0,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
BaseTrainer,2022-01-17 22:27:12.878236,99,1000,8,0.4755,0.3804,0.38299999999999995,0.1754,0.4059,0.2088,0.42,0.182,0.5205,0.1886,32.7273,0.7089,0.2773,0,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:16.024727,99,1000,2,0.8155,0.8051,0.5329999999999999,0.2981,0.5268,0.2849,0.6024,0.2757,0.9341,0.2116,32.7273,0.9184,0.5726,1,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:18.458754,99,1000,2,0.9263,0.8479,0.5475,0.2917,0.5403,0.2774,0.6309,0.28300000000000003,0.9832,0.2278,32.7273,0.925,0.6034,4,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:20.693631,99,1000,2,0.8373,0.8055,0.526,0.2819,0.5302,0.2687,0.5827,0.2405,0.809,0.1863,32.7273,0.8616,0.4384,16,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:23.820631,99,1000,4,0.6729,0.6262,0.4633,0.2671,0.4787,0.2609,0.4965,0.222,0.5546,0.1821,32.7273,0.6394,0.2223,1,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:26.259635,99,1000,4,0.7457,0.5365,0.4676,0.2352,0.4696,0.2433,0.5207,0.2487,0.7181,0.238,32.7273,0.8171,0.4073,4,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:28.524631,99,1000,4,0.794,0.7033,0.4968,0.2753,0.4968,0.2715,0.5604,0.2526,0.8316,0.1912,32.7273,0.8952,0.5097,16,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
NewTrainer,2022-01-17 22:27:31.619632,99,1000,8,0.4745,0.3884,0.3803,0.1672,0.4116,0.2111,0.4218,0.189,0.5002,0.1892,32.7273,0.6651,0.2575,1,"Namespace(batch_size=256, data='tabular', data_name='yeast5', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=8)"
