trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config,train_loss
BaseTrainer,2022-01-15 21:45:22.555821,0,1000,"[2, 4, 8]",,0.5314,0.5403,0.3219,0.5632,0.3394,0.5629,0.3359,0.4178,0.2636,0.03,0.3544,0.0348,0,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)",0.5801
BaseTrainer,2022-01-15 21:45:25.730136,0,1000,"[2, 4, 8]",,0.5001,0.5081,0.3329,0.5497,0.3638,0.5362,0.3548,0.3848,0.2978,0.03,0.307,0.0332,0,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)",0.4832
BaseTrainer,2022-01-15 21:45:28.895552,0,1000,"[2, 4, 8]",,0.0667,0.195,0.0544,0.2057,0.0647,0.2002,0.0669,0.1618,0.0942,0.03,0.2961,0.0508,0,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)",0.16699999999999998
NewTrainer,2022-01-15 21:45:32.408201,0,1000,"[2, 4, 8]",,0.5569,0.5486,0.3266,0.5915,0.3621,0.5817,0.3463,0.445,0.3006,0.03,0.3487,0.0354,1,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.5811
NewTrainer,2022-01-15 21:45:35.750952,0,1000,"[2, 4, 8]",,0.5071,0.5198,0.3353,0.5459,0.3789,0.5418,0.3594,0.3691,0.3026,0.03,0.2756,0.0316,4,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.5604
NewTrainer,2022-01-15 21:45:38.923171,0,1000,"[2, 4, 8]",,0.5359,0.5531,0.3212,0.5758,0.3568,0.5783,0.3399,0.4235,0.2822,0.03,0.3323,0.0339,16,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.6052
NewTrainer,2022-01-15 21:45:42.418841,0,1000,"[2, 4, 8]",,0.132,0.2872,0.0929,0.2865,0.1054,0.294,0.0999,0.2306,0.1001,0.03,0.3249,0.0331,1,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.2972
NewTrainer,2022-01-15 21:45:45.724840,0,1000,"[2, 4, 8]",,0.1587,0.3126,0.1094,0.3165,0.1187,0.3208,0.1182,0.2478,0.126,0.03,0.3164,0.0345,4,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.3352
NewTrainer,2022-01-15 21:45:48.990966,0,1000,"[2, 4, 8]",,0.161,0.3071,0.1065,0.3197,0.1179,0.319,0.1177,0.2479,0.1269,0.03,0.314,0.034,16,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.3058
NewTrainer,2022-01-15 21:45:52.506771,0,1000,"[2, 4, 8]",,0.0782,0.2098,0.0562,0.2258,0.0705,0.2182,0.0703,0.1851,0.1154,0.03,0.3056,0.0904,1,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.1671
NewTrainer,2022-01-15 21:45:55.814773,0,1000,"[2, 4, 8]",,0.0757,0.2099,0.0529,0.2237,0.0648,0.2173,0.0648,0.1776,0.0899,0.03,0.2983,0.0447,4,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.1691
NewTrainer,2022-01-15 21:45:59.040065,0,1000,"[2, 4, 8]",,0.072,0.1999,0.0555,0.2155,0.0664,0.2072,0.0653,0.1712,0.0896,0.03,0.3199,0.0458,16,"Namespace(batch_size=256, data='time', data_name='026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)",0.1564
