trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 13:38:08.778259,99,1000,2,0.5063,0.4036,0.5357,0.278,0.4837,0.2555,0.5357,0.2775,0.5792,0.2107,45.875,0.5852,0.064,0,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-16 13:38:13.598760,99,1000,4,0.2496,0.0782,0.2471,0.0982,0.2155,0.0873,0.2437,0.1024,0.2921,0.0823,45.875,0.6521,0.0856,0,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-16 13:38:18.392079,99,1000,8,0.1213,0.0317,0.1565,0.0671,0.1339,0.0525,0.1607,0.0791,0.2162,0.0717,45.875,0.7384,0.1119,0,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:25.663655,99,1000,2,0.4351,0.2702,0.4312,0.1877,0.3953,0.185,0.426,0.1852,0.5089,0.1294,45.875,0.6449,0.0765,1,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:31.118487,99,1000,2,0.5163,0.4005,0.5215,0.2867,0.4677,0.2673,0.5169,0.2871,0.5788,0.207,45.875,0.5977,0.0657,4,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:36.056969,99,1000,2,0.5043,0.3768,0.4971,0.2988,0.4455,0.2776,0.4954,0.2988,0.5469,0.2298,45.875,0.5854,0.0641,16,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:43.463540,99,1000,4,0.2356,0.0701,0.2344,0.0926,0.2037,0.079,0.2337,0.0992,0.2843,0.0656,45.875,0.698,0.0894,1,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:48.953834,99,1000,4,0.4011,0.361,0.4675,0.3157,0.4227,0.2896,0.4701,0.3133,0.513,0.2616,45.875,0.568,0.0626,4,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:38:53.913751,99,1000,4,0.2204,0.0659,0.2265,0.1042,0.1923,0.0885,0.2257,0.1107,0.2813,0.0853,45.875,0.6788,0.0875,16,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:39:01.278718,99,1000,8,0.128,0.0313,0.1538,0.0609,0.1354,0.0476,0.1567,0.0745,0.2055,0.0718,45.875,0.7206,0.1093,1,"Namespace(batch_size=256, data='time', data_name='031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
