trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 19:41:12.995346,99,1000,2,0.8164,0.8919,0.6571,0.1767,0.7149,0.1657,0.7208,0.2115,0.5231,0.217,27.9351,0.23800000000000002,0.040999999999999995,0,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:41:15.636543,99,1000,4,0.6568,0.6633,0.522,0.1485,0.5743,0.1365,0.6356,0.2036,0.4117,0.1775,27.9351,0.1875,0.0385,0,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:41:18.234214,99,1000,8,0.4911,0.4997,0.4238,0.1334,0.4815,0.1212,0.5916,0.20600000000000002,0.3607,0.1436,27.9351,0.166,0.0381,0,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:22.266933,99,1000,2,0.8502,0.9197,0.6664,0.1698,0.7295,0.1539,0.7223,0.1999,0.5289,0.1914,27.9351,0.2229,0.04,1,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:25.286933,99,1000,2,0.8195,0.8849,0.6531,0.1765,0.7105,0.1668,0.7188,0.21,0.5207,0.2126,27.9351,0.2346,0.0406,4,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:28.013478,99,1000,2,0.8268,0.8934,0.6558,0.1694,0.7158,0.1543,0.7208,0.2063,0.5246,0.2121,27.9351,0.2368,0.0407,16,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:31.926112,99,1000,4,0.6357,0.617,0.4924,0.1463,0.5404,0.1346,0.6213,0.2087,0.3786,0.1676,27.9351,0.1684,0.038,1,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:34.931385,99,1000,4,0.6218,0.6093,0.4879,0.1449,0.5346,0.1323,0.6184,0.2068,0.3809,0.1682,27.9351,0.1723,0.0381,4,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:37.658155,99,1000,4,0.6103,0.6295,0.4997,0.1523,0.5499,0.1404,0.6214,0.2077,0.3833,0.1743,27.9351,0.1774,0.0382,16,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:41.640155,99,1000,8,0.4891,0.4829,0.417,0.1241,0.4709,0.1129,0.5819,0.2046,0.3485,0.1536,27.9351,0.1678,0.038,1,"Namespace(batch_size=256, data='time', data_name='053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
