trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 19:41:49.952054,99,1000,2,0.5597,0.5075,0.5469,0.2002,0.5981,0.2386,0.5624,0.2099,0.5069,0.2384,48.3806,0.4372,0.0401,0,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:41:52.545771,99,1000,4,0.2773,0.1771,0.3005,0.0927,0.3438,0.1165,0.3133,0.1014,0.3612,0.1727,48.3806,0.5643,0.2774,0,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:41:55.160462,99,1000,8,0.1829,0.0935,0.2155,0.0677,0.2395,0.0812,0.2256,0.0698,0.2572,0.1089,48.3806,0.5568,0.2659,0,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:59.125469,99,1000,2,0.556,0.5498,0.5602,0.225,0.6231,0.2685,0.5731,0.2358,0.4972,0.2371,48.3806,0.4092,0.0368,1,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:02.099527,99,1000,2,0.5906,0.5899,0.5865,0.2112,0.647,0.2488,0.6006,0.2222,0.5354,0.2468,48.3806,0.4334,0.0393,4,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:04.804912,99,1000,2,0.5777,0.5365,0.5658,0.2205,0.6101,0.2608,0.5778,0.2302,0.4785,0.22,48.3806,0.3884,0.0337,16,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:08.755617,99,1000,4,0.289,0.1633,0.2859,0.0915,0.3223,0.1142,0.2984,0.0968,0.33,0.1537,48.3806,0.525,0.2466,1,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:11.710492,99,1000,4,0.4283,0.3136,0.4243,0.1886,0.4758,0.1919,0.4366,0.1978,0.4094,0.2207,48.3806,0.4461,0.0427,4,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:14.409628,99,1000,4,0.3739,0.3344,0.3836,0.1691,0.4481,0.2334,0.3965,0.179,0.4022,0.2309,48.3806,0.4934,0.0581,16,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:42:18.339854,99,1000,8,0.1894,0.1027,0.2253,0.0718,0.2545,0.0893,0.2352,0.0738,0.248,0.1147,48.3806,0.4823,0.2308,1,"Namespace(batch_size=256, data='time', data_name='099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
