trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 23:16:45.089635,99,1000,2,0.5658,0.5504,0.5545,0.2288,0.6154,0.2702,0.5658,0.2369,0.4949,0.2544,48.3806,0.418,0.0388,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:16:47.650172,99,1000,4,0.2725,0.1306,0.2785,0.1037,0.2877,0.1043,0.2852,0.1057,0.2739,0.1134,48.3806,0.4632,0.0428,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:16:50.263607,99,1000,8,0.1699,0.0889,0.2008,0.0756,0.2302,0.1005,0.2086,0.078,0.244,0.1338,48.3806,0.5409,0.2556,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 23:16:54.182925,99,1000,2,0.5361,0.5417,0.5573,0.2317,0.6301,0.2616,0.568,0.2393,0.5181,0.2511,48.3806,0.4320000000000001,0.0391,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:16:57.153926,99,1000,2,0.5854,0.5754,0.569,0.2264,0.6465,0.2654,0.5823,0.2359,0.5513,0.293,48.3806,0.4494,0.0445,4,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:16:59.864614,99,1000,2,0.5582,0.5877,0.5798,0.2241,0.6579999999999999,0.2607,0.593,0.2344,0.5588,0.2939,48.3806,0.447,0.0441,16,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:03.736105,99,1000,4,0.5271,0.5101,0.5168,0.2554,0.5872,0.2846,0.5221,0.2629,0.424,0.239,48.3806,0.3865,0.0339,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:06.743204,99,1000,4,0.2987,0.1497,0.2891,0.107,0.3093,0.1265,0.3003,0.1096,0.3014,0.1443,48.3806,0.4828,0.1888,4,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:09.455733,99,1000,4,0.3267,0.2225,0.3324,0.1046,0.3794,0.1274,0.3383,0.1082,0.3394,0.1851,48.3806,0.4844,0.2276,16,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:13.388983,99,1000,8,0.1674,0.0812,0.1998,0.0718,0.2217,0.0907,0.2068,0.0729,0.2347,0.1262,48.3806,0.5164,0.2717,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:16.400705,99,1000,8,0.1742,0.0793,0.1969,0.0745,0.221,0.0923,0.2035,0.0759,0.2266,0.1271,48.3806,0.4952,0.2548,4,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:17:19.095563,99,1000,8,0.1627,0.0878,0.2044,0.0721,0.225,0.0893,0.211,0.0741,0.2542,0.1347,48.3806,0.5589999999999999,0.3039,16,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:24:11.630122,199,1000,2,0.4186,0.256,0.3652,0.149,0.4079,0.1778,0.3806,0.1543,0.4008,0.2214,48.3806,0.5045,0.1841,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:24:16.765304,199,1000,4,0.2523,0.1306,0.2413,0.0983,0.2778,0.1271,0.2527,0.1017,0.2933,0.1528,48.3806,0.5444,0.2568,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:24:21.890944,199,1000,8,0.1364,0.0643,0.1821,0.0707,0.1988,0.0801,0.1893,0.0741,0.2392,0.1338,48.3806,0.586,0.2664,0,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 23:24:30.057590,199,1000,2,0.4896,0.3573,0.4433,0.1813,0.5086,0.1962,0.4608,0.1979,0.5362,0.3527,48.3806,0.5012,0.2312,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:24:35.998189,199,1000,2,0.5888,0.5479,0.5699,0.2289,0.6248,0.2571,0.5801,0.2358,0.4957,0.2416,48.3806,0.413,0.0363,4,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:24:41.320266,199,1000,2,0.4967,0.5245,0.53,0.2467,0.6027,0.2788,0.5394,0.2537,0.4861,0.2518,48.3806,0.436,0.0386,16,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:24:49.449378,199,1000,4,0.2357,0.1259,0.2446,0.0994,0.2772,0.1202,0.2552,0.1032,0.3052,0.1607,48.3806,0.5524,0.2882,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:24:55.370393,199,1000,4,0.2491,0.1254,0.2412,0.0897,0.2756,0.1135,0.2515,0.0915,0.2782,0.1382,48.3806,0.516,0.2711,4,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:25:00.701053,199,1000,4,0.2691,0.1675,0.276,0.1092,0.3198,0.1414,0.287,0.1155,0.3416,0.213,48.3806,0.53,0.2883,16,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:25:08.818390,199,1000,8,0.1409,0.0684,0.1845,0.0649,0.2038,0.0822,0.1918,0.0685,0.2392,0.1356,48.3806,0.569,0.3614,1,"Namespace(batch_size=256, data='time', data_name='142_UCR_Anomaly_InternalBleeding6_1500_3474_3629', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
