trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 23:18:23.216856,99,1000,2,0.8183,0.8919,0.6576,0.1754,0.7168,0.1768,0.7,0.2003,0.4838,0.2137,27.9351,0.2078,0.0396,0,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:18:25.825107,99,1000,4,0.6508,0.6542,0.5154,0.1469,0.5674,0.1504,0.6076,0.1896,0.3646,0.1683,27.9351,0.1514,0.0372,0,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 23:18:28.417647,99,1000,8,0.4897,0.5021,0.4182,0.1378,0.4813,0.1381,0.5667,0.1894,0.3239,0.1333,27.9351,0.1292,0.0369,0,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:32.364730,99,1000,2,0.8579,0.926,0.6726,0.1723,0.7346,0.1716,0.7069,0.1887,0.4983,0.1953,27.9351,0.1993,0.0392,1,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:35.297732,99,1000,2,0.8221,0.8865,0.6565,0.1753,0.7132,0.1758,0.6981,0.1989,0.4825,0.2102,27.9351,0.2059,0.0395,4,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:37.975538,99,1000,2,0.8251,0.8934,0.6552,0.1674,0.7161,0.1646,0.6999,0.1949,0.4847,0.205,27.9351,0.2052,0.0392,16,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:41.862029,99,1000,4,0.6299,0.6157,0.4909,0.1494,0.5395,0.1505,0.5956,0.1934,0.3356,0.1632,27.9351,0.1364,0.0369,1,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:44.769028,99,1000,4,0.6208,0.6122,0.488,0.1482,0.5364,0.1503,0.5939,0.1911,0.3393,0.1626,27.9351,0.1394,0.037000000000000005,4,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:47.517893,99,1000,4,0.629,0.6243,0.4955,0.1603,0.5445,0.1632,0.5948,0.1937,0.3382,0.1671,27.9351,0.1411,0.037000000000000005,16,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 23:18:51.519533,99,1000,8,0.4821,0.48,0.4112,0.1261,0.4679,0.1286,0.5575,0.188,0.3066,0.1458,27.9351,0.13,0.0368,1,"Namespace(batch_size=256, data='time', data_name='161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
